First Name,Last Name,Email,Phone,Gender,Department,Job Title,Years Of Experience,Salary
Jose,Lopez,joselopez0826@slingacademy.com,+1-971-533-4552x1542,male,Product,Machine Learning Engineer,3,6500.0
Douglas,Carter,douglascarter1370@slingacademy.com,881.633.0107,male,Product,DevOps Engineer,8,12000.0
Sherry,Foster,sherryfoster2166@slingacademy.com,001-966-861-0065x493,female,Product,Project Manager,9,12500.0
Charles,Fisher,charlesfisher3142@slingacademy.com,001-574-564-4648,male,Product,Project Manager,11,15500.0
Sharon,Hunter,sharonhunter4540@slingacademy.com,5838355842,female,Human Resource,HR Manager,3,6500.0
Joshua,Jacobs,joshuajacobs5993@slingacademy.com,053-913-2609,male,Product,Mobile Developer,15,12500.0
Charles,Marshall,charlesmarshall6986@slingacademy.com,701-932-8553,male,Product,Tester,9,10500.0
Karen,Tate,karentate7212@slingacademy.com,001-889-992-5260x62725,female,Product,Project Manager,11,13500.0
Jillian,Byrd,jillianbyrd8141@slingacademy.com,077-635-0084x1647,female,Product,Designer,9,12500.0
Melanie,Sharp,melaniesharp9505@slingacademy.com,(848)212-0230,female,Human Resource,HR Manager,14,13000.0
Brandy,Mckee,brandymckee10502@slingacademy.com,001-085-315-6112x464,female,Product,Mobile Developer,12,11000.0
Robert,Simpson,robertsimpson11956@slingacademy.com,496-469-5331x659,male,Human Resource,HR Manager,12,13000.0
George,Mckenzie,georgemckenzie12927@slingacademy.com,(843)416-2489,male,Product,DevOps Engineer,3,9500.0
Kelly,Smith,kellysmith13144@slingacademy.com,+1-380-230-4166,female,Product,Machine Learning Engineer,7,10500.0
David,Crawford,davidcrawford14269@slingacademy.com,(848)716-0019x0240,male,Product,Project Manager,12,15000.0
Carrie,Benson,carriebenson15473@slingacademy.com,+1-368-801-2914x8616,female,Human Resource,HR Manager,2,8000.0
Nicole,Smith,nicolesmith16873@slingacademy.com,289.372.5080x2156,female,Product,Project Manager,10,13000.0
Peter,Jimenez,peterjimenez17712@slingacademy.com,001-535-827-3787x317,male,Product,Machine Learning Engineer,14,15000.0
Sergio,Boyle,sergioboyle18346@slingacademy.com,3027626274,male,Product,DevOps Engineer,2,9000.0
Brianna,Moss,briannamoss19258@slingacademy.com,+1-529-287-4857x163,female,Product,DevOps Engineer,7,11500.0
Taylor,Garner,taylorgarner20135@slingacademy.com,931-244-1612x38767,female,Human Resource,HR Manager,1,5500.0
Melissa,Padilla,melissapadilla21212@slingacademy.com,(787)446-1738,female,Human Resource,HR Manager,12,12000.0
Zachary,Walker,zacharywalker22432@slingacademy.com,154-489-0248,male,Product,Tester,13,12500.0
Justin,Pena,justinpena23284@slingacademy.com,+1-099-174-5458x294,male,Product,Designer,12,14000.0
Vanessa,Reynolds,vanessareynolds24394@slingacademy.com,+1-357-911-9617x44729,female,Product,DevOps Engineer,8,11000.0
Robert,Suarez,robertsuarez25160@slingacademy.com,+1-121-053-2698x314,male,Product,Web Developer,2,8000.0
Thomas,Ellis,thomasellis26787@slingacademy.com,029.476.5817x88014,male,Product,Machine Learning Engineer,15,12500.0
Rodney,Porter,rodneyporter27817@slingacademy.com,+1-508-187-4826,male,Product,DevOps Engineer,11,13500.0
Danielle,Reyes,daniellereyes28626@slingacademy.com,(725)355-0896x3876,female,Product,Machine Learning Engineer,4,9000.0
Ashley,Kirby,ashleykirby29526@slingacademy.com,458.110.0220x9710,female,Product,Tester,5,7500.0
Tammy,Walker,tammywalker30478@slingacademy.com,+1-810-034-9706x602,female,Product,Designer,13,15500.0
Billy,Stewart,billystewart31162@slingacademy.com,745-157-5520,male,Product,Tester,15,13500.0
Terry,Parker,terryparker32514@slingacademy.com,255.599.0102,male,Product,Machine Learning Engineer,10,12000.0
Samantha,Hogan,samanthahogan33733@slingacademy.com,1138662041,female,Product,Mobile Developer,10,10000.0
David,Pham,davidpham34741@slingacademy.com,(106)836-9118x102,male,Product,Tester,8,11000.0
John,Duke,johnduke35988@slingacademy.com,622.245.2756,male,Product,DevOps Engineer,1,9500.0
Kristen,Thompson,kristenthompson36165@slingacademy.com,392.181.9671x23227,female,Product,Web Developer,15,14500.0
Daisy,Perry,daisyperry37751@slingacademy.com,+1-921-685-9612x0086,female,Human Resource,HR Manager,5,8500.0
Sarah,Smith,sarahsmith38777@slingacademy.com,(110)771-1347x58805,female,Product,Mobile Developer,9,9500.0
